il,ilce,Bölge,ilkod,ilcekod,il_ilce
ÇANAKKALE,ÇANAKKALE,MARMARA,TUR017,TUR017006,"ÇANAKKALE, ÇANAKKALE"
ÇANAKKALE,YENİCE,MARMARA,TUR017,TUR017012,"ÇANAKKALE, YENİCE"
ÇANKIRI,ATKARACALAR,İÇ ANADOLU,TUR018,TUR018001,"ÇANKIRI, ATKARACALAR"
ÇANKIRI,ÇERKEŞ,İÇ ANADOLU,TUR018,TUR018004,"ÇANKIRI, ÇERKEŞ"
ÇANKIRI,ELDİVAN,İÇ ANADOLU,TUR018,TUR018005,"ÇANKIRI, ELDİVAN"
ÇANKIRI,ILGAZ,İÇ ANADOLU,TUR018,TUR018006,"ÇANKIRI, ILGAZ"
ÇANKIRI,KIZILIRMAK,İÇ ANADOLU,TUR018,TUR018007,"ÇANKIRI, KIZILIRMAK"
ÇANKIRI,KORGUN,İÇ ANADOLU,TUR018,TUR018008,"ÇANKIRI, KORGUN"
ÇANKIRI,KURŞUNLU,İÇ ANADOLU,TUR018,TUR018009,"ÇANKIRI, KURŞUNLU"
ÇANKIRI,BAYRAMÖREN,İÇ ANADOLU,TUR018,TUR018002,"ÇANKIRI, BAYRAMÖREN"
ÇANKIRI,ÇANKIRI,İÇ ANADOLU,TUR018,TUR018003,"ÇANKIRI, ÇANKIRI"
ÇANKIRI,ORTA,İÇ ANADOLU,TUR018,TUR018010,"ÇANKIRI, ORTA"
ÇANKIRI,ŞABANÖZÜ,İÇ ANADOLU,TUR018,TUR018011,"ÇANKIRI, ŞABANÖZÜ"
ÇANKIRI,YAPRAKLI,İÇ ANADOLU,TUR018,TUR018012,"ÇANKIRI, YAPRAKLI"
ÇORUM,ALACA,KARADENİZ,TUR019,TUR019001,"ÇORUM, ALACA"
ÇORUM,BAYAT,KARADENİZ,TUR019,TUR019002,"ÇORUM, BAYAT"
ÇORUM,BOĞAZKALE,KARADENİZ,TUR019,TUR019003,"ÇORUM, BOĞAZKALE"
ÇORUM,DODURGA,KARADENİZ,TUR019,TUR019005,"ÇORUM, DODURGA"
ÇORUM,İSKİLİP,KARADENİZ,TUR019,TUR019006,"ÇORUM, İSKİLİP"
ÇORUM,KARGI,KARADENİZ,TUR019,TUR019007,"ÇORUM, KARGI"
ÇORUM,LAÇİN,KARADENİZ,TUR019,TUR019008,"ÇORUM, LAÇİN"
ÇORUM,MECİTÖZÜ,KARADENİZ,TUR019,TUR019009,"ÇORUM, MECİTÖZÜ"
ÇORUM,ÇORUM,KARADENİZ,TUR019,TUR019004,"ÇORUM, ÇORUM"
ÇORUM,OĞUZLAR,KARADENİZ,TUR019,TUR019010,"ÇORUM, OĞUZLAR"
ÇORUM,ORTAKÖY,KARADENİZ,TUR019,TUR019011,"ÇORUM, ORTAKÖY"
ÇORUM,OSMANCIK,KARADENİZ,TUR019,TUR019012,"ÇORUM, OSMANCIK"
ÇORUM,SUNGURLU,KARADENİZ,TUR019,TUR019013,"ÇORUM, SUNGURLU"
ÇORUM,UĞURLUDAĞ,KARADENİZ,TUR019,TUR019014,"ÇORUM, UĞURLUDAĞ"
DENİZLİ,ACIPAYAM,EGE,TUR020,TUR020001,"DENİZLİ, ACIPAYAM"
DENİZLİ,BABADAĞ,EGE,TUR020,TUR020002,"DENİZLİ, BABADAĞ"
DENİZLİ,BAKLAN,EGE,TUR020,TUR020003,"DENİZLİ, BAKLAN"
DENİZLİ,BEKİLLİ,EGE,TUR020,TUR020004,"DENİZLİ, BEKİLLİ"
DENİZLİ,BEYAĞAÇ,EGE,TUR020,TUR020005,"DENİZLİ, BEYAĞAÇ"
DENİZLİ,BOZKURT,EGE,TUR020,TUR020006,"DENİZLİ, BOZKURT"
DENİZLİ,BULDAN,EGE,TUR020,TUR020007,"DENİZLİ, BULDAN"
DENİZLİ,ÇAL,EGE,TUR020,TUR020008,"DENİZLİ, ÇAL"
DENİZLİ,ÇAMELİ,EGE,TUR020,TUR020009,"DENİZLİ, ÇAMELİ"
DENİZLİ,ÇARDAK,EGE,TUR020,TUR020010,"DENİZLİ, ÇARDAK"
DENİZLİ,ÇİVRİL,EGE,TUR020,TUR020011,"DENİZLİ, ÇİVRİL"
DENİZLİ,GÜNEY,EGE,TUR020,TUR020012,"DENİZLİ, GÜNEY"
DENİZLİ,HONAZ,EGE,TUR020,TUR020013,"DENİZLİ, HONAZ"
DENİZLİ,KALE,EGE,TUR020,TUR020014,"DENİZLİ, KALE"
DENİZLİ,MERKEZEFENDİ,EGE,TUR020,TUR020015,"DENİZLİ, MERKEZEFENDİ"
DENİZLİ,PAMUKKALE,EGE,TUR020,TUR020016,"DENİZLİ, PAMUKKALE"
DENİZLİ,SARAYKÖY,EGE,TUR020,TUR020017,"DENİZLİ, SARAYKÖY"
DENİZLİ,SERİNHİSAR,EGE,TUR020,TUR020018,"DENİZLİ, SERİNHİSAR"
DENİZLİ,TAVAS,EGE,TUR020,TUR020019,"DENİZLİ, TAVAS"
DİYARBAKIR,BAĞLAR,GÜNEYDOĞU ANADOLU,TUR021,TUR021001,"DİYARBAKIR, BAĞLAR"
DİYARBAKIR,BİSMİL,GÜNEYDOĞU ANADOLU,TUR021,TUR021002,"DİYARBAKIR, BİSMİL"
DİYARBAKIR,ÇERMİK,GÜNEYDOĞU ANADOLU,TUR021,TUR021003,"DİYARBAKIR, ÇERMİK"
DİYARBAKIR,ÇINAR,GÜNEYDOĞU ANADOLU,TUR021,TUR021004,"DİYARBAKIR, ÇINAR"
DİYARBAKIR,ÇÜNGÜŞ,GÜNEYDOĞU ANADOLU,TUR021,TUR021005,"DİYARBAKIR, ÇÜNGÜŞ"
DİYARBAKIR,DİCLE,GÜNEYDOĞU ANADOLU,TUR021,TUR021006,"DİYARBAKIR, DİCLE"
DİYARBAKIR,EĞİL,GÜNEYDOĞU ANADOLU,TUR021,TUR021007,"DİYARBAKIR, EĞİL"
DİYARBAKIR,ERGANİ,GÜNEYDOĞU ANADOLU,TUR021,TUR021008,"DİYARBAKIR, ERGANİ"
DİYARBAKIR,HANİ,GÜNEYDOĞU ANADOLU,TUR021,TUR021009,"DİYARBAKIR, HANİ"
DİYARBAKIR,HAZRO,GÜNEYDOĞU ANADOLU,TUR021,TUR021010,"DİYARBAKIR, HAZRO"
DİYARBAKIR,KAYAPINAR,GÜNEYDOĞU ANADOLU,TUR021,TUR021011,"DİYARBAKIR, KAYAPINAR"
DİYARBAKIR,KOCAKÖY,GÜNEYDOĞU ANADOLU,TUR021,TUR021012,"DİYARBAKIR, KOCAKÖY"
DİYARBAKIR,KULP,GÜNEYDOĞU ANADOLU,TUR021,TUR021013,"DİYARBAKIR, KULP"
DİYARBAKIR,LİCE,GÜNEYDOĞU ANADOLU,TUR021,TUR021014,"DİYARBAKIR, LİCE"
DİYARBAKIR,SİLVAN,GÜNEYDOĞU ANADOLU,TUR021,TUR021015,"DİYARBAKIR, SİLVAN"
DİYARBAKIR,SUR,GÜNEYDOĞU ANADOLU,TUR021,TUR021016,"DİYARBAKIR, SUR"
DİYARBAKIR,YENİŞEHİR,GÜNEYDOĞU ANADOLU,TUR021,TUR021017,"DİYARBAKIR, YENİŞEHİR"
DÜZCE,AKÇAKOCA,KARADENİZ,TUR081,TUR081001,"DÜZCE, AKÇAKOCA"
DÜZCE,ÇİLİMLİ,KARADENİZ,TUR081,TUR081003,"DÜZCE, ÇİLİMLİ"
DÜZCE,CUMAYERİ,KARADENİZ,TUR081,TUR081002,"DÜZCE, CUMAYERİ"
DÜZCE,GÖLYAKA,KARADENİZ,TUR081,TUR081005,"DÜZCE, GÖLYAKA"
DÜZCE,GÜMÜŞOVA,KARADENİZ,TUR081,TUR081006,"DÜZCE, GÜMÜŞOVA"
DÜZCE,KAYNAŞLI,KARADENİZ,TUR081,TUR081007,"DÜZCE, KAYNAŞLI"
DÜZCE,DÜZCE,KARADENİZ,TUR081,TUR081004,"DÜZCE, DÜZCE"
DÜZCE,YIĞILCA,KARADENİZ,TUR081,TUR081008,"DÜZCE, YIĞILCA"
EDİRNE,ENEZ,MARMARA,TUR022,TUR022002,"EDİRNE, ENEZ"
EDİRNE,HAVSA,MARMARA,TUR022,TUR022003,"EDİRNE, HAVSA"
EDİRNE,İPSALA,MARMARA,TUR022,TUR022004,"EDİRNE, İPSALA"
EDİRNE,KEŞAN,MARMARA,TUR022,TUR022005,"EDİRNE, KEŞAN"
EDİRNE,LALAPAŞA,MARMARA,TUR022,TUR022006,"EDİRNE, LALAPAŞA"
EDİRNE,MERİÇ,MARMARA,TUR022,TUR022007,"EDİRNE, MERİÇ"
EDİRNE,EDİRNE,MARMARA,TUR022,TUR022001,"EDİRNE, EDİRNE"
EDİRNE,SÜLOĞLU,MARMARA,TUR022,TUR022008,"EDİRNE, SÜLOĞLU"
EDİRNE,UZUNKÖPRÜ,MARMARA,TUR022,TUR022009,"EDİRNE, UZUNKÖPRÜ"
ELAZIĞ,AĞIN,DOĞU ANADOLU,TUR023,TUR023001,"ELAZIĞ, AĞIN"
ELAZIĞ,ALACAKAYA,DOĞU ANADOLU,TUR023,TUR023002,"ELAZIĞ, ALACAKAYA"
ELAZIĞ,ARICAK,DOĞU ANADOLU,TUR023,TUR023003,"ELAZIĞ, ARICAK"
ELAZIĞ,BASKİL,DOĞU ANADOLU,TUR023,TUR023004,"ELAZIĞ, BASKİL"
ELAZIĞ,KARAKOÇAN,DOĞU ANADOLU,TUR023,TUR023006,"ELAZIĞ, KARAKOÇAN"
ELAZIĞ,KEBAN,DOĞU ANADOLU,TUR023,TUR023007,"ELAZIĞ, KEBAN"
ELAZIĞ,KOVANCILAR,DOĞU ANADOLU,TUR023,TUR023008,"ELAZIĞ, KOVANCILAR"
ELAZIĞ,MADEN,DOĞU ANADOLU,TUR023,TUR023009,"ELAZIĞ, MADEN"
ELAZIĞ,ELAZIĞ,DOĞU ANADOLU,TUR023,TUR023005,"ELAZIĞ, ELAZIĞ"
ELAZIĞ,PALU,DOĞU ANADOLU,TUR023,TUR023010,"ELAZIĞ, PALU"
ELAZIĞ,SİVRİCE,DOĞU ANADOLU,TUR023,TUR023011,"ELAZIĞ, SİVRİCE"
ERZİNCAN,ÇAYIRLI,DOĞU ANADOLU,TUR024,TUR024001,"ERZİNCAN, ÇAYIRLI"
ERZİNCAN,İLİÇ,DOĞU ANADOLU,TUR024,TUR024003,"ERZİNCAN, İLİÇ"
ERZİNCAN,KEMAH,DOĞU ANADOLU,TUR024,TUR024004,"ERZİNCAN, KEMAH"
ERZİNCAN,KEMALİYE,DOĞU ANADOLU,TUR024,TUR024005,"ERZİNCAN, KEMALİYE"
ERZİNCAN,ERZİNCAN,DOĞU ANADOLU,TUR024,TUR024002,"ERZİNCAN, ERZİNCAN"
ERZİNCAN,OTLUKBELİ,DOĞU ANADOLU,TUR024,TUR024006,"ERZİNCAN, OTLUKBELİ"
ERZİNCAN,REFAHİYE,DOĞU ANADOLU,TUR024,TUR024007,"ERZİNCAN, REFAHİYE"
ERZİNCAN,TERCAN,DOĞU ANADOLU,TUR024,TUR024008,"ERZİNCAN, TERCAN"
ERZİNCAN,ÜZÜMLÜ,DOĞU ANADOLU,TUR024,TUR024009,"ERZİNCAN, ÜZÜMLÜ"
ERZURUM,AŞKALE,DOĞU ANADOLU,TUR025,TUR025001,"ERZURUM, AŞKALE"
ERZURUM,AZİZİYE,DOĞU ANADOLU,TUR025,TUR025002,"ERZURUM, AZİZİYE"
ERZURUM,ÇAT,DOĞU ANADOLU,TUR025,TUR025003,"ERZURUM, ÇAT"
ERZURUM,HINIS,DOĞU ANADOLU,TUR025,TUR025004,"ERZURUM, HINIS"
ERZURUM,HORASAN,DOĞU ANADOLU,TUR025,TUR025005,"ERZURUM, HORASAN"
ERZURUM,İSPİR,DOĞU ANADOLU,TUR025,TUR025006,"ERZURUM, İSPİR"
ERZURUM,KARAÇOBAN,DOĞU ANADOLU,TUR025,TUR025007,"ERZURUM, KARAÇOBAN"
ERZURUM,KARAYAZI,DOĞU ANADOLU,TUR025,TUR025008,"ERZURUM, KARAYAZI"
ERZURUM,KÖPRÜKÖY,DOĞU ANADOLU,TUR025,TUR025009,"ERZURUM, KÖPRÜKÖY"
ERZURUM,NARMAN,DOĞU ANADOLU,TUR025,TUR025010,"ERZURUM, NARMAN"
ERZURUM,OLTU,DOĞU ANADOLU,TUR025,TUR025011,"ERZURUM, OLTU"
ERZURUM,OLUR,DOĞU ANADOLU,TUR025,TUR025012,"ERZURUM, OLUR"
ERZURUM,PALANDÖKEN,DOĞU ANADOLU,TUR025,TUR025013,"ERZURUM, PALANDÖKEN"
ERZURUM,PASİNLER,DOĞU ANADOLU,TUR025,TUR025014,"ERZURUM, PASİNLER"
ERZURUM,PAZARYOLU,DOĞU ANADOLU,TUR025,TUR025015,"ERZURUM, PAZARYOLU"
ERZURUM,ŞENKAYA,DOĞU ANADOLU,TUR025,TUR025016,"ERZURUM, ŞENKAYA"
ERZURUM,TEKMAN,DOĞU ANADOLU,TUR025,TUR025017,"ERZURUM, TEKMAN"
ERZURUM,TORTUM,DOĞU ANADOLU,TUR025,TUR025018,"ERZURUM, TORTUM"
ERZURUM,UZUNDERE,DOĞU ANADOLU,TUR025,TUR025019,"ERZURUM, UZUNDERE"
ERZURUM,YAKUTİYE,DOĞU ANADOLU,TUR025,TUR025020,"ERZURUM, YAKUTİYE"
ESKİŞEHİR,ALPU,İÇ ANADOLU,TUR026,TUR026001,"ESKİŞEHİR, ALPU"
ESKİŞEHİR,BEYLİKOVA,İÇ ANADOLU,TUR026,TUR026002,"ESKİŞEHİR, BEYLİKOVA"
ESKİŞEHİR,ÇİFTELER,İÇ ANADOLU,TUR026,TUR026003,"ESKİŞEHİR, ÇİFTELER"
ESKİŞEHİR,GÜNYÜZÜ,İÇ ANADOLU,TUR026,TUR026004,"ESKİŞEHİR, GÜNYÜZÜ"
ESKİŞEHİR,HAN,İÇ ANADOLU,TUR026,TUR026005,"ESKİŞEHİR, HAN"
ESKİŞEHİR,İNÖNÜ,İÇ ANADOLU,TUR026,TUR026006,"ESKİŞEHİR, İNÖNÜ"
ESKİŞEHİR,MAHMUDİYE,İÇ ANADOLU,TUR026,TUR026007,"ESKİŞEHİR, MAHMUDİYE"
ESKİŞEHİR,MİHALGAZİ,İÇ ANADOLU,TUR026,TUR026008,"ESKİŞEHİR, MİHALGAZİ"
ESKİŞEHİR,MİHALIÇÇIK,İÇ ANADOLU,TUR026,TUR026009,"ESKİŞEHİR, MİHALIÇÇIK"
ESKİŞEHİR,ODUNPAZARI,İÇ ANADOLU,TUR026,TUR026010,"ESKİŞEHİR, ODUNPAZARI"
ESKİŞEHİR,SARICAKAYA,İÇ ANADOLU,TUR026,TUR026011,"ESKİŞEHİR, SARICAKAYA"
ESKİŞEHİR,SEYİTGAZİ,İÇ ANADOLU,TUR026,TUR026012,"ESKİŞEHİR, SEYİTGAZİ"
ESKİŞEHİR,SİVRİHİSAR,İÇ ANADOLU,TUR026,TUR026013,"ESKİŞEHİR, SİVRİHİSAR"
ESKİŞEHİR,TEPEBAŞI,İÇ ANADOLU,TUR026,TUR026014,"ESKİŞEHİR, TEPEBAŞI"
GAZİANTEP,ARABAN,GÜNEYDOĞU ANADOLU,TUR027,TUR027001,"GAZİANTEP, ARABAN"
GAZİANTEP,İSLAHİYE,GÜNEYDOĞU ANADOLU,TUR027,TUR027002,"GAZİANTEP, İSLAHİYE"
GAZİANTEP,KARKAMIŞ,GÜNEYDOĞU ANADOLU,TUR027,TUR027003,"GAZİANTEP, KARKAMIŞ"
GAZİANTEP,NİZİP,GÜNEYDOĞU ANADOLU,TUR027,TUR027004,"GAZİANTEP, NİZİP"
GAZİANTEP,NURDAĞI,GÜNEYDOĞU ANADOLU,TUR027,TUR027005,"GAZİANTEP, NURDAĞI"
GAZİANTEP,OĞUZELİ,GÜNEYDOĞU ANADOLU,TUR027,TUR027006,"GAZİANTEP, OĞUZELİ"
GAZİANTEP,ŞAHİNBEY,GÜNEYDOĞU ANADOLU,TUR027,TUR027007,"GAZİANTEP, ŞAHİNBEY"
GAZİANTEP,ŞEHİTKAMİL,GÜNEYDOĞU ANADOLU,TUR027,TUR027008,"GAZİANTEP, ŞEHİTKAMİL"
GAZİANTEP,YAVUZELİ,GÜNEYDOĞU ANADOLU,TUR027,TUR027009,"GAZİANTEP, YAVUZELİ"
GİRESUN,ALUCRA,KARADENİZ,TUR028,TUR028001,"GİRESUN, ALUCRA"
GİRESUN,BULANCAK,KARADENİZ,TUR028,TUR028002,"GİRESUN, BULANCAK"
GİRESUN,ÇAMOLUK,KARADENİZ,TUR028,TUR028003,"GİRESUN, ÇAMOLUK"
GİRESUN,ÇANAKÇI,KARADENİZ,TUR028,TUR028004,"GİRESUN, ÇANAKÇI"
GİRESUN,DERELİ,KARADENİZ,TUR028,TUR028005,"GİRESUN, DERELİ"
GİRESUN,DOĞANKENT,KARADENİZ,TUR028,TUR028006,"GİRESUN, DOĞANKENT"
GİRESUN,ESPİYE,KARADENİZ,TUR028,TUR028007,"GİRESUN, ESPİYE"
GİRESUN,EYNESİL,KARADENİZ,TUR028,TUR028008,"GİRESUN, EYNESİL"
GİRESUN,GÖRELE,KARADENİZ,TUR028,TUR028010,"GİRESUN, GÖRELE"
GİRESUN,GÜCE,KARADENİZ,TUR028,TUR028011,"GİRESUN, GÜCE"
GİRESUN,KEŞAP,KARADENİZ,TUR028,TUR028012,"GİRESUN, KEŞAP"
GİRESUN,GİRESUN,KARADENİZ,TUR028,TUR028009,"GİRESUN, GİRESUN"
GİRESUN,PİRAZİZ,KARADENİZ,TUR028,TUR028013,"GİRESUN, PİRAZİZ"
GİRESUN,ŞEBİNKARAHİSAR,KARADENİZ,TUR028,TUR028014,"GİRESUN, ŞEBİNKARAHİSAR"
GİRESUN,TİREBOLU,KARADENİZ,TUR028,TUR028015,"GİRESUN, TİREBOLU"
GİRESUN,YAĞLIDERE,KARADENİZ,TUR028,TUR028016,"GİRESUN, YAĞLIDERE"
GÜMÜŞHANE,KELKİT,KARADENİZ,TUR029,TUR029002,"GÜMÜŞHANE, KELKİT"
GÜMÜŞHANE,KÖSE,KARADENİZ,TUR029,TUR029003,"GÜMÜŞHANE, KÖSE"
GÜMÜŞHANE,KÜRTÜN,KARADENİZ,TUR029,TUR029004,"GÜMÜŞHANE, KÜRTÜN"
GÜMÜŞHANE,GÜMÜŞHANE,KARADENİZ,TUR029,TUR029001,"GÜMÜŞHANE, GÜMÜŞHANE"
GÜMÜŞHANE,ŞİRAN,KARADENİZ,TUR029,TUR029005,"GÜMÜŞHANE, ŞİRAN"
GÜMÜŞHANE,TORUL,KARADENİZ,TUR029,TUR029006,"GÜMÜŞHANE, TORUL"
HAKKARİ,ÇUKURCA,DOĞU ANADOLU,TUR030,TUR030001,"HAKKARİ, ÇUKURCA"
HAKKARİ,DERECİK,DOĞU ANADOLU,TUR030,TUR030005,"HAKKARİ, DERECİK"
HAKKARİ,HAKKARİ,DOĞU ANADOLU,TUR030,TUR030002,"HAKKARİ, HAKKARİ"
HAKKARİ,ŞEMDİNLİ,DOĞU ANADOLU,TUR030,TUR030003,"HAKKARİ, ŞEMDİNLİ"
HAKKARİ,YÜKSEKOVA,DOĞU ANADOLU,TUR030,TUR030004,"HAKKARİ, YÜKSEKOVA"
HATAY,ALTINÖZÜ,AKDENİZ,TUR031,TUR031001,"HATAY, ALTINÖZÜ"
HATAY,ANTAKYA,AKDENİZ,TUR031,TUR031002,"HATAY, ANTAKYA"
HATAY,ARSUZ,AKDENİZ,TUR031,TUR031003,"HATAY, ARSUZ"
HATAY,BELEN,AKDENİZ,TUR031,TUR031004,"HATAY, BELEN"
HATAY,DEFNE,AKDENİZ,TUR031,TUR031005,"HATAY, DEFNE"
HATAY,DÖRTYOL,AKDENİZ,TUR031,TUR031006,"HATAY, DÖRTYOL"
HATAY,ERZİN,AKDENİZ,TUR031,TUR031007,"HATAY, ERZİN"
HATAY,HASSA,AKDENİZ,TUR031,TUR031008,"HATAY, HASSA"
HATAY,İSKENDERUN,AKDENİZ,TUR031,TUR031009,"HATAY, İSKENDERUN"
HATAY,KIRIKHAN,AKDENİZ,TUR031,TUR031010,"HATAY, KIRIKHAN"
HATAY,KUMLU,AKDENİZ,TUR031,TUR031011,"HATAY, KUMLU"
HATAY,PAYAS,AKDENİZ,TUR031,TUR031012,"HATAY, PAYAS"
HATAY,REYHANLI,AKDENİZ,TUR031,TUR031013,"HATAY, REYHANLI"
HATAY,SAMANDAĞ,AKDENİZ,TUR031,TUR031014,"HATAY, SAMANDAĞ"
HATAY,YAYLADAĞI,AKDENİZ,TUR031,TUR031015,"HATAY, YAYLADAĞI"
IĞDIR,ARALIK,DOĞU ANADOLU,TUR076,TUR076001,"IĞDIR, ARALIK"
IĞDIR,KARAKOYUNLU,DOĞU ANADOLU,TUR076,TUR076003,"IĞDIR, KARAKOYUNLU"
IĞDIR,IĞDIR,DOĞU ANADOLU,TUR076,TUR076002,"IĞDIR, IĞDIR"
IĞDIR,TUZLUCA,DOĞU ANADOLU,TUR076,TUR076004,"IĞDIR, TUZLUCA"
ISPARTA,AKSU,AKDENİZ,TUR032,TUR032001,"ISPARTA, AKSU"
ISPARTA,ATABEY,AKDENİZ,TUR032,TUR032002,"ISPARTA, ATABEY"
ISPARTA,EĞİRDİR,AKDENİZ,TUR032,TUR032003,"ISPARTA, EĞİRDİR"
ISPARTA,GELENDOST,AKDENİZ,TUR032,TUR032004,"ISPARTA, GELENDOST"
ISPARTA,GÖNEN,AKDENİZ,TUR032,TUR032005,"ISPARTA, GÖNEN"
ISPARTA,KEÇİBORLU,AKDENİZ,TUR032,TUR032007,"ISPARTA, KEÇİBORLU"
ISPARTA,ISPARTA,AKDENİZ,TUR032,TUR032006,"ISPARTA, ISPARTA"
ISPARTA,ŞARKİKARAAĞAÇ,AKDENİZ,TUR032,TUR032010,"ISPARTA, ŞARKİKARAAĞAÇ"
ISPARTA,SENİRKENT,AKDENİZ,TUR032,TUR032008,"ISPARTA, SENİRKENT"
ISPARTA,SÜTÇÜLER,AKDENİZ,TUR032,TUR032009,"ISPARTA, SÜTÇÜLER"
ISPARTA,ULUBORLU,AKDENİZ,TUR032,TUR032011,"ISPARTA, ULUBORLU"
ISPARTA,YALVAÇ,AKDENİZ,TUR032,TUR032012,"ISPARTA, YALVAÇ"
ISPARTA,YENİŞARBADEMLİ,AKDENİZ,TUR032,TUR032013,"ISPARTA, YENİŞARBADEMLİ"
İSTANBUL,ADALAR,MARMARA,TUR034,TUR034001,"İSTANBUL, ADALAR"
İSTANBUL,ARNAVUTKÖY,MARMARA,TUR034,TUR034002,"İSTANBUL, ARNAVUTKÖY"
İSTANBUL,ATAŞEHİR,MARMARA,TUR034,TUR034003,"İSTANBUL, ATAŞEHİR"
İSTANBUL,AVCILAR,MARMARA,TUR034,TUR034004,"İSTANBUL, AVCILAR"
İSTANBUL,BAĞCILAR,MARMARA,TUR034,TUR034005,"İSTANBUL, BAĞCILAR"
İSTANBUL,BAHÇELİEVLER,MARMARA,TUR034,TUR034006,"İSTANBUL, BAHÇELİEVLER"
İSTANBUL,BAKIRKÖY,MARMARA,TUR034,TUR034007,"İSTANBUL, BAKIRKÖY"
İSTANBUL,BAŞAKŞEHİR,MARMARA,TUR034,TUR034008,"İSTANBUL, BAŞAKŞEHİR"
İSTANBUL,BAYRAMPAŞA,MARMARA,TUR034,TUR034009,"İSTANBUL, BAYRAMPAŞA"
İSTANBUL,BEŞİKTAŞ,MARMARA,TUR034,TUR034010,"İSTANBUL, BEŞİKTAŞ"
İSTANBUL,BEYKOZ,MARMARA,TUR034,TUR034011,"İSTANBUL, BEYKOZ"
İSTANBUL,BEYLİKDÜZÜ,MARMARA,TUR034,TUR034012,"İSTANBUL, BEYLİKDÜZÜ"
İSTANBUL,BEYOĞLU,MARMARA,TUR034,TUR034013,"İSTANBUL, BEYOĞLU"
İSTANBUL,BÜYÜKÇEKMECE,MARMARA,TUR034,TUR034014,"İSTANBUL, BÜYÜKÇEKMECE"
İSTANBUL,ÇATALCA,MARMARA,TUR034,TUR034015,"İSTANBUL, ÇATALCA"
İSTANBUL,ÇEKMEKÖY,MARMARA,TUR034,TUR034016,"İSTANBUL, ÇEKMEKÖY"
İSTANBUL,ESENLER,MARMARA,TUR034,TUR034017,"İSTANBUL, ESENLER"
İSTANBUL,ESENYURT,MARMARA,TUR034,TUR034018,"İSTANBUL, ESENYURT"
İSTANBUL,EYÜPSULTAN,MARMARA,TUR034,TUR034019,"İSTANBUL, EYÜPSULTAN"
İSTANBUL,FATİH,MARMARA,TUR034,TUR034020,"İSTANBUL, FATİH"
İSTANBUL,GAZİOSMANPAŞA,MARMARA,TUR034,TUR034021,"İSTANBUL, GAZİOSMANPAŞA"
İSTANBUL,GÜNGÖREN,MARMARA,TUR034,TUR034022,"İSTANBUL, GÜNGÖREN"
İSTANBUL,KADIKÖY,MARMARA,TUR034,TUR034023,"İSTANBUL, KADIKÖY"
İSTANBUL,KAĞITHANE,MARMARA,TUR034,TUR034024,"İSTANBUL, KAĞITHANE"
İSTANBUL,KARTAL,MARMARA,TUR034,TUR034025,"İSTANBUL, KARTAL"
İSTANBUL,KÜÇÜKÇEKMECE,MARMARA,TUR034,TUR034026,"İSTANBUL, KÜÇÜKÇEKMECE"
İSTANBUL,MALTEPE,MARMARA,TUR034,TUR034027,"İSTANBUL, MALTEPE"
İSTANBUL,PENDİK,MARMARA,TUR034,TUR034028,"İSTANBUL, PENDİK"
İSTANBUL,SANCAKTEPE,MARMARA,TUR034,TUR034029,"İSTANBUL, SANCAKTEPE"
İSTANBUL,SARIYER,MARMARA,TUR034,TUR034030,"İSTANBUL, SARIYER"
İSTANBUL,ŞİLE,MARMARA,TUR034,TUR034034,"İSTANBUL, ŞİLE"
İSTANBUL,SİLİVRİ,MARMARA,TUR034,TUR034031,"İSTANBUL, SİLİVRİ"
İSTANBUL,ŞİŞLİ,MARMARA,TUR034,TUR034035,"İSTANBUL, ŞİŞLİ"
İSTANBUL,SULTANBEYLİ,MARMARA,TUR034,TUR034032,"İSTANBUL, SULTANBEYLİ"
